area,item,year,yield,average_rain_fall_mm_per_year,avg_temp,pesticides_tonnes
Albania,Maize,1990,36613,1485,16.37,121
Albania,Maize,1991,29068,1485,15.36,121
Albania,Maize,1992,24876,1485,16.06,121
Albania,Maize,1993,24185,1485,16.05,121
Albania,Maize,1994,25848,1485,16.96,201
Albania,Maize,1995,31300,1485,15.67,251
Albania,Maize,1996,32604,1485,15.64,313.96
Albania,Maize,1997,31862,1485,15.9,376.93
Albania,Maize,1998,33416,1485,16.27,439.89
Albania,Maize,1999,37455,1485,16.57,502.86
Albania,Maize,2000,38811,1485,16.67,565.82
Albania,Maize,2001,38135,1485,16.59,628.79
Albania,Maize,2002,39460,1485,16.47,691.75
Albania,Maize,2004,46197,1485,16.16,817.68
Albania,Maize,2005,45442,1485,15.67,880.64
Albania,Maize,2006,50111,1485,15.92,943.61
Albania,Maize,2007,46732,1485,16.67,1006.57
Albania,Maize,2008,50000,1485,16.71,1069.54
Albania,Maize,2009,55693,1485,16.73,1132.5
Albania,Maize,2010,66790,1485,16.52,1311.17
Albania,Maize,2011,59869,1485,16.45,1302.63
Albania,Maize,2012,67290,1485,16.7,766.25
Albania,Maize,2013,69533,1485,17.41,982.32
Albania,Potatoes,1990,66667,1485,16.37,121
Albania,Potatoes,1991,77818,1485,15.36,121
Albania,Potatoes,1992,82920,1485,16.06,121
Albania,Potatoes,1993,98446,1485,16.05,121
Albania,Potatoes,1994,81404,1485,16.96,201
Albania,Potatoes,1995,111323,1485,15.67,251
Albania,Potatoes,1996,106138,1485,15.64,313.96
Albania,Potatoes,1997,109874,1485,15.9,376.93
Albania,Potatoes,1998,127212,1485,16.27,439.89
Albania,Potatoes,1999,142018,1485,16.57,502.86
Albania,Potatoes,2000,141228,1485,16.67,565.82
Albania,Potatoes,2001,148818,1485,16.59,628.79
Albania,Potatoes,2002,153868,1485,16.47,691.75
Albania,Potatoes,2004,149346,1485,16.16,817.68
Albania,Potatoes,2005,167061,1485,15.67,880.64
Albania,Potatoes,2006,170745,1485,15.92,943.61
Albania,Potatoes,2007,188902,1485,16.67,1006.57
Albania,Potatoes,2008,193878,1485,16.71,1069.54
Albania,Potatoes,2009,219780,1485,16.73,1132.5
Albania,Potatoes,2010,231111,1485,16.52,1311.17
Albania,Potatoes,2011,242211,1485,16.45,1302.63
Albania,Potatoes,2012,250538,1485,16.7,766.25
Albania,Potatoes,2013,260110,1485,17.41,982.32
Albania,"Rice, paddy",1990,23333,1485,16.37,121
Albania,"Rice, paddy",1991,28538,1485,15.36,121
Albania,"Rice, paddy",1992,40000,1485,16.06,121
Albania,"Rice, paddy",1993,41786,1485,16.05,121
Albania,Sorghum,1990,12500,1485,16.37,121
Albania,Sorghum,1991,6667,1485,15.36,121
Albania,Sorghum,1992,3747,1485,16.06,121
Albania,Soybeans,1990,7000,1485,16.37,121
Albania,Soybeans,1991,6066,1485,15.36,121
Albania,Soybeans,1992,4507,1485,16.06,121
Albania,Soybeans,1993,7998,1485,16.05,121
Albania,Soybeans,1994,7927,1485,16.96,201
Albania,Soybeans,1995,11791,1485,15.67,251
Albania,Soybeans,1996,15480,1485,15.64,313.96
Albania,Soybeans,1997,12768,1485,15.9,376.93
Albania,Soybeans,1998,14327,1485,16.27,439.89
Albania,Soybeans,1999,17143,1485,16.57,502.86
Albania,Soybeans,2000,15000,1485,16.67,565.82
Albania,Soybeans,2001,20000,1485,16.59,628.79
Albania,Soybeans,2002,20000,1485,16.47,691.75
Albania,Soybeans,2004,13333,1485,16.16,817.68
Albania,Soybeans,2005,17500,1485,15.67,880.64
Albania,Soybeans,2006,20000,1485,15.92,943.61
Albania,Soybeans,2007,20000,1485,16.67,1006.57
Albania,Soybeans,2008,20000,1485,16.71,1069.54
Albania,Soybeans,2009,16667,1485,16.73,1132.5
Albania,Soybeans,2010,16667,1485,16.52,1311.17
Albania,Soybeans,2011,18519,1485,16.45,1302.63
Albania,Soybeans,2012,13333,1485,16.7,766.25
Albania,Soybeans,2013,10000,1485,17.41,982.32
Albania,Wheat,1990,30197,1485,16.37,121
Albania,Wheat,1991,20698,1485,15.36,121
Albania,Wheat,1992,24388,1485,16.06,121
Albania,Wheat,1993,29976,1485,16.05,121
Albania,Wheat,1994,24745,1485,16.96,201
Albania,Wheat,1995,28703,1485,15.67,251
Albania,Wheat,1996,21741,1485,15.64,313.96
Albania,Wheat,1997,28516,1485,15.9,376.93
Albania,Wheat,1998,28037,1485,16.27,439.89
Albania,Wheat,1999,24954,1485,16.57,502.86
Albania,Wheat,2000,30455,1485,16.67,565.82
Albania,Wheat,2001,28220,1485,16.59,628.79
Albania,Wheat,2002,31617,1485,16.47,691.75
Albania,Wheat,2004,31130,1485,16.16,817.68
Albania,Wheat,2005,31582,1485,15.67,880.64
Albania,Wheat,2006,30787,1485,15.92,943.61
Albania,Wheat,2007,35496,1485,16.67,1006.57
Albania,Wheat,2008,40168,1485,16.71,1069.54
Albania,Wheat,2009,40229,1485,16.73,1132.5
Albania,Wheat,2010,39905,1485,16.52,1311.17
Albania,Wheat,2011,42301,1485,16.45,1302.63
Albania,Wheat,2012,41096,1485,16.7,766.25
Albania,Wheat,2013,41292,1485,17.41,982.32
Algeria,Maize,1990,16500,89,17.48,1828.92
Algeria,Maize,1991,19231,89,16.26,2461.8
Algeria,Maize,1992,22828,89,16.27,1215.47
Algeria,Maize,1993,12500,89,17,1021.89
Algeria,Maize,1994,4512,89,17.88,1255.02
Algeria,Maize,1995,16115,89,17.36,2697.09
Algeria,Maize,1996,17154,89,16.76,479.77
Algeria,Maize,1997,21417,89,17.84,401.22
